GEX historical data for SPY
Retrieved,Price,Gex Value At Next Exp,GEX Flip Price,Put Skew,Skew Adj GEX,IV,Avg Volume,Gex/Vol,PCR (OI),Rating
2024-03-04 15:46:39,512.63,383583346.238254,512.45,-0.04187195190958515,-31166534.496395566,0.11387621527777778,36258939,-0.0,3.37,5
2024-03-04 09:37:34,512.35,516003833.50347507,512.22,-0.036382070229397545,-43294764.16306914,0.11373524305555556,52793163,-0.0,3.28,5
2024-03-01 15:46:44,512.96,1259156759.7629442,507.91,-0.050160397453889005,-901598619.3797634,0.11100644345238096,52793163,-0.006,3.17,5
2024-03-01 09:38:33,508.9199,3175696035.4427447,507.39,-0.048591811773408794,-602876122.9303422,0.1119957242063492,48206665,-0.005,2.97,5
2024-02-29 15:46:32,508.5796,4390141617.714007,506.34,-0.05117432865542837,-957056940.6659493,0.11196222718253968,48206665,-0.008,3.17,5
2024-02-29 09:38:35,508.525,1572416096.5215936,506.18,-0.051033721267623955,-1172048141.2621915,0.11260308531746031,42098376,-0.011,3.06,5
2024-02-28 15:52:07,505.74,-65559721.928832,505.7,-0.05081588604057016,-11078856.379883522,0.11325054563492064,42098376,-0.0,3.15,5
2024-02-28 09:37:46,505.54,-814695472.1479001,505.95,-0.05138604683112827,214713129.05382577,0.11489325396825396,32712214,0.003,3.06,1
2024-02-27 15:46:48,506.72,-173845418.146304,505.57,-0.01529824217720513,-101754219.5119017,0.11272342013888888,32712214,-0.001,3.13,3
2024-02-27 09:37:26,506.13,-411763763.10906,505.97,-0.01866173891882575,-24559723.170734458,0.1160084300595238,36763855,-0.0,3.05,4
2024-02-26 15:46:30,506.635,-672416903.562068,505.05,-0.01812817149892504,-126037090.50701082,0.1148696875,36763855,-0.001,3.16,4
2024-02-26 09:38:59,508.6,-75703521.13360001,506.76,-0.02131079768342725,-417672436.3083,0.11837979166666668,43338017,-0.004,3.09,4
2024-02-23 15:46:38,508.18,696835391.136292,503.45,-0.032163851288220524,-444788147.80055076,0.11413672619047618,43338017,-0.004,3.31,4
2024-02-23 09:38:41,509.76,3837324165.8204155,503.85,-0.029542214115768906,-912729716.9347277,0.11940030753968253,60939442,-0.006,3.07,4
2024-02-22 15:46:41,507.795,4133523271.8926997,497.95,-0.025665635254457947,-927316259.5977217,0.11964370039682541,60939442,-0.006,3.11,4
2024-02-22 09:37:19,503.14,2502523063.070184,497.49,-0.019509428547951235,-630423915.3352067,0.11964219990079365,41792669,-0.006,2.99,4
2024-02-21 15:46:36,495.95,-284533934.412,497.21,-0.005469167174380035,108264606.15969634,0.12589898809523808,41792669,0.001,3.1,3
2024-02-21 09:38:08,495.505,-427771198.95890677,496.91,-0.0023298790066353103,183554412.48299727,0.13039290674603177,52942180,0.001,2.95,3
2024-02-20 15:46:41,496.1,-586864179.3971001,498.83,-0.00848124264293812,188026660.0507262,0.12685374503968253,52942180,0.001,3.27,3
